Region,Population,Year,Age,65 and over,Generation
"Total, New Zealand",49780,2013,85-89 Years,True,Silent
"Total, New Zealand",34560,2001,85-89 Years,True,Other
"Total, New Zealand",27510,1996,85-89 Years,True,Other
"Total, New Zealand",39080,2006,85-89 Years,True,Other
"Total, New Zealand",30690,2018,90 Years and over,True,Silent
"Total, New Zealand",24940,2013,90 Years and over,True,Other
"Total, New Zealand",34880,2023,90 Years and over,True,Silent
"Total, New Zealand",15230,2001,90 Years and over,True,Other
"Total, New Zealand",11680,1996,90 Years and over,True,Other
"Total, New Zealand",19060,2006,90 Years and over,True,Other
